"CountyID","CountyName","Abuse","Neglect","SexualAbuse","Count"
74,"Washington",0,0,1,32
74,"Washington",0,1,0,1639
74,"Washington",0,1,1,33
74,"Washington",1,0,0,155
74,"Washington",1,0,1,7
74,"Washington",1,1,0,128
74,"Washington",1,1,1,2
75,"Washita",0,0,0,1
75,"Washita",0,0,1,4
75,"Washita",0,1,0,121
75,"Washita",0,1,1,4
75,"Washita",1,0,0,30
75,"Washita",1,0,1,1
75,"Washita",1,1,0,19
75,"Washita",1,1,1,1
76,"Woods",0,0,0,7
76,"Woods",0,0,1,11
76,"Woods",0,1,0,795
76,"Woods",0,1,1,7
76,"Woods",1,0,0,97
76,"Woods",1,0,1,1
76,"Woods",1,1,0,53
76,"Woods",1,1,1,2
77,"Woodward",0,0,0,10
77,"Woodward",0,0,1,17
77,"Woodward",0,1,0,866
77,"Woodward",0,1,1,15
77,"Woodward",1,0,0,87
77,"Woodward",1,0,1,1
77,"Woodward",1,1,0,70
NA,NA,0,0,0,15
NA,NA,0,0,1,27
NA,NA,0,1,0,386
NA,NA,0,1,1,16
NA,NA,1,0,0,106
NA,NA,1,1,0,30
